ticker
RGA
EG
WRB
AIZ
THG
KMPR
HIG
CAH
HOLX
INCY
OGN
VTRS
CAG
SJM
CPB
FLO
BGS
CALM
MAN
KFY
HNI
PRIM
ASGN
LUMN
PARA
WBD
FOX
NXST
OHI
SBRA
MPW
GTY
